week,date,day,home,score,away,xG,xG_1,venue,referee
19,2019-01-13,Sun,Barcelona,3–0,Eibar,1.1,0.9,Camp Nou,Jesús Gil
19,2019-01-13,Sun,Betis,1–2,Real Madrid,0.8,0.7,Estadio Benito Villamarín,Alejandro Hernández
19,2019-01-14,Mon,Real Sociedad,3–2,Espanyol,2.6,2.1,Estadio Municipal de Anoeta,Carlos del Cerro
20,2019-01-18,Fri,Getafe,4–0,Alavés,2.0,0.4,Coliseum Alfonso Pérez,José Luis Munuera
20,2019-01-19,Sat,Real Madrid,2–0,Sevilla,1.5,0.5,Estadio Santiago Bernabéu,Antonio Matéu Lahoz
20,2019-01-19,Sat,Huesca,0–3,Atlético Madrid,1.3,2.5,Estadio El Alcoraz,Guillermo Cuadra
20,2019-01-19,Sat,Celta Vigo,1–2,Valencia,0.8,1.2,Estadio de Balaídos,José González
20,2019-01-20,Sun,Betis,3–2,Girona,1.4,0.8,Estadio Benito Villamarín,Adrián Cordero
20,2019-01-20,Sun,Villarreal,1–1,Athletic Club,1.1,0.5,Estadio de la Cerámica,Alberto Undiano
20,2019-01-20,Sun,Levante,2–0,Valladolid,1.5,1.5,Estadio Ciudad de Valencia,Santiago Jaime
20,2019-01-20,Sun,Rayo Vallecano,2–2,Real Sociedad,0.9,1.6,Estadio del Rayo Vallecano,David Medié
20,2019-01-20,Sun,Barcelona,3–1,Leganés,1.8,0.9,Camp Nou,Ricardo de Burgos
20,2019-01-21,Mon,Eibar,3–0,Espanyol,1.6,0.9,Estadio Municipal de Ipurúa,Juan Martínez
21,2019-01-26,Sat,Sevilla,5–0,Levante,4.6,0.9,Estadio Ramón Sánchez Pizjuán,Hsu Jason
21,2019-01-26,Sat,Atlético Madrid,2–0,Getafe,1.1,0.3,Estadio Wanda Metropolitano,Ignacio Iglesias
21,2019-01-26,Sat,Leganés,2–2,Eibar,0.7,0.2,Estadio Municipal de Butarque,Alejandro Hernández
21,2019-01-26,Sat,Valencia,3–0,Villarreal,1.5,0.7,Estadio de Mestalla,Carlos del Cerro
21,2019-01-27,Sun,Valladolid,2–1,Celta Vigo,1.6,1.0,Estadio Municipal José Zorrilla,José Sánchez
21,2019-01-27,Sun,Girona,0–2,Barcelona,1.3,2.2,Estadi Municipal de Montilivi,Pablo González
21,2019-01-27,Sun,Real Sociedad,0–0,Huesca,0.4,0.4,Estadio Municipal de Anoeta,Eduardo Prieto
21,2019-01-27,Sun,Athletic Club,1–0,Betis,1.1,0.4,San Mamés,Daniel Ask
21,2019-01-27,Sun,Espanyol,2–4,Real Madrid,1.1,2.1,RCDE Stadium,Jesús Gil
21,2019-01-28,Mon,Alavés,0–1,Rayo Vallecano,1.0,1.0,Estadio de Mendizorroza,Mario Melero
22,2019-02-01,Fri,Huesca,4–0,Valladolid,1.9,0.5,Estadio El Alcoraz,José Luis Munuera
22,2019-02-02,Sat,Levante,0–0,Getafe,0.6,0.4,Estadio Ciudad de Valencia,Adrián Cordero
22,2019-02-02,Sat,Real Sociedad,2–1,Athletic Club,1.5,1.4,Estadio Municipal de Anoeta,Antonio Matéu Lahoz
22,2019-02-02,Sat,Barcelona,2–2,Valencia,2.0,3.3,Camp Nou,Alberto Undiano
22,2019-02-02,Sat,Celta Vigo,1–0,Sevilla,1.0,0.9,Estadio de Balaídos,Ricardo de Burgos
22,2019-02-03,Sun,Villarreal,2–2,Espanyol,2.8,1.6,Estadio de la Cerámica,Guillermo Cuadra
22,2019-02-03,Sun,Betis,1–0,Atlético Madrid,1.0,0.7,Estadio Benito Villamarín,David Medié
22,2019-02-03,Sun,Eibar,3–0,Girona,1.7,0.2,Estadio Municipal de Ipurúa,José González
22,2019-02-03,Sun,Real Madrid,3–0,Alavés,2.5,0.6,Estadio Santiago Bernabéu,Santiago Jaime
22,2019-02-04,Mon,Rayo Vallecano,1–2,Leganés,1.7,1.3,Estadio del Rayo Vallecano,Juan Martínez
23,2019-02-08,Fri,Valladolid,0–0,Villarreal,0.6,1.2,Estadio Municipal José Zorrilla,Alejandro Hernández
23,2019-02-09,Sat,Getafe,3–1,Celta Vigo,2.7,0.9,Coliseum Alfonso Pérez,Pablo González
23,2019-02-09,Sat,Atlético Madrid,1–3,Real Madrid,1.1,1.6,Estadio Wanda Metropolitano,Daniel Ask
