Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
25.0,Sun,2019-02-24,18:30,Valladolid,0.6,0–2,0.8,Betis,20125.0,Estadio Municipal José Zorrilla,Pablo González
25.0,Sun,2019-02-24,20:45,Levante,1.2,1–2,2.7,Real Madrid,23018.0,Estadio Ciudad de Valencia,Ignacio Iglesias
25.0,Mon,2019-02-25,21:00,Girona,1.0,0–0,0.5,Real Sociedad,10170.0,Estadi Municipal de Montilivi,Eduardo Prieto
26.0,Fri,2019-03-01,21:00,Rayo Vallecano,0.8,0–2,1.3,Girona,12087.0,Estadio del Rayo Vallecano,Santiago Jaime
26.0,Sat,2019-03-02,13:00,Espanyol,2.6,3–1,1.5,Valladolid,20467.0,RCDE Stadium,Adrián Cordero
26.0,Sat,2019-03-02,16:15,Villarreal,1.2,1–2,1.4,Alavés,15488.0,Estadio de la Cerámica,José Luis Munuera
26.0,Sat,2019-03-02,18:30,Huesca,1.0,2–1,2.3,Sevilla,6818.0,Estadio El Alcoraz,Ricardo de Burgos
26.0,Sat,2019-03-02,20:45,Real Madrid,0.9,0–1,1.1,Barcelona,78921.0,Estadio Santiago Bernabéu,Alberto Undiano
26.0,Sun,2019-03-03,12:00,Eibar,2.5,1–0,0.5,Celta Vigo,4682.0,Estadio Municipal de Ipurúa,Guillermo Cuadra
26.0,Sun,2019-03-03,16:15,Betis,0.6,1–2,1.6,Getafe,46657.0,Estadio Benito Villamarín,Juan Martínez
26.0,Sun,2019-03-03,18:30,Real Sociedad,0.9,0–2,1.4,Atlético Madrid,26004.0,Estadio Municipal de Anoeta,José González
26.0,Sun,2019-03-03,20:45,Valencia,1.3,2–0,0.4,Athletic Club,39041.0,Estadio de Mestalla,David Medié
26.0,Mon,2019-03-04,21:00,Leganés,1.9,1–0,1.5,Levante,9758.0,Estadio Municipal de Butarque,Jesús Gil
27.0,Fri,2019-03-08,21:00,Athletic Club,0.8,1–1,0.8,Espanyol,38453.0,San Mamés,Pablo González
27.0,Sat,2019-03-09,13:00,Alavés,2.0,1–1,2.4,Eibar,18793.0,Estadio de Mendizorroza,Hsu Jason
27.0,Sat,2019-03-09,16:15,Atlético Madrid,1.3,1–0,0.1,Leganés,58321.0,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
27.0,Sat,2019-03-09,18:30,Barcelona,2.4,3–1,0.4,Rayo Vallecano,74158.0,Camp Nou,Mario Melero
27.0,Sat,2019-03-09,20:45,Getafe,1.4,2–1,0.9,Huesca,10882.0,Coliseum Alfonso Pérez,Eduardo Prieto
27.0,Sun,2019-03-10,12:00,Celta Vigo,0.4,0–1,1.2,Betis,18005.0,Estadio de Balaídos,Daniel Ask
27.0,Sun,2019-03-10,16:15,Girona,2.3,2–3,1.2,Valencia,11502.0,Estadi Municipal de Montilivi,Carlos del Cerro
